,date,asset,price,weights,Family
0,2019-01-02,Asset1,231.5061,0.225457962039468,Fixed Income
1,2019-01-03,Asset1,231.0356,0.225457962039468,Fixed Income
2,2019-01-04,Asset1,230.4026,0.225457962039468,Fixed Income
3,2019-01-05,Asset1,230.4026,0.225457962039468,Fixed Income
4,2019-01-06,Asset1,230.4026,0.225457962039468,Fixed Income
5,2019-01-07,Asset1,230.0543,0.225457962039468,Fixed Income
6,2019-01-08,Asset1,229.7012,0.225457962039468,Fixed Income
7,2019-01-09,Asset1,230.155,0.225457962039468,Fixed Income
8,2019-01-10,Asset1,230.4994,0.225457962039468,Fixed Income
9,2019-01-11,Asset1,230.8193,0.225457962039468,Fixed Income
10,2019-01-12,Asset1,230.8193,0.225457962039468,Fixed Income
11,2019-01-13,Asset1,230.8193,0.225457962039468,Fixed Income
12,2019-01-14,Asset1,231.0823,0.225457962039468,Fixed Income
13,2019-01-15,Asset1,231.3187,0.225457962039468,Fixed Income
14,2019-01-16,Asset1,231.4834,0.225457962039468,Fixed Income
15,2019-01-17,Asset1,231.4778,0.225457962039468,Fixed Income
16,2019-01-18,Asset1,231.4533,0.225457962039468,Fixed Income
17,2019-01-19,Asset1,231.4533,0.225457962039468,Fixed Income
18,2019-01-20,Asset1,231.4533,0.225457962039468,Fixed Income
19,2019-01-21,Asset1,231.3291,0.225457962039468,Fixed Income
20,2019-01-22,Asset1,231.6117,0.225457962039468,Fixed Income
21,2019-01-23,Asset1,231.7206,0.225457962039468,Fixed Income
22,2019-01-24,Asset1,232.786,0.225457962039468,Fixed Income
23,2019-01-25,Asset1,232.8402,0.225457962039468,Fixed Income
24,2019-01-26,Asset1,232.8402,0.225457962039468,Fixed Income
25,2019-01-27,Asset1,232.8402,0.225457962039468,Fixed Income
26,2019-01-28,Asset1,232.6644,0.225457962039468,Fixed Income
27,2019-01-29,Asset1,232.6579,0.225457962039468,Fixed Income
28,2019-01-30,Asset1,232.8493,0.225457962039468,Fixed Income
29,2019-01-31,Asset1,233.3566,0.225457962039468,Fixed Income
30,2019-02-01,Asset1,232.5707,0.225457962039468,Fixed Income
31,2019-02-02,Asset1,232.5707,0.225457962039468,Fixed Income
32,2019-02-03,Asset1,232.5707,0.225457962039468,Fixed Income
33,2019-02-04,Asset1,232.4786,0.225457962039468,Fixed Income
34,2019-02-05,Asset1,232.3439,0.225457962039468,Fixed Income
35,2019-02-06,Asset1,232.1823,0.225457962039468,Fixed Income
36,2019-02-07,Asset1,232.1859,0.225457962039468,Fixed Income
37,2019-02-08,Asset1,232.2148,0.225457962039468,Fixed Income
38,2019-02-09,Asset1,232.2148,0.225457962039468,Fixed Income
39,2019-02-10,Asset1,232.2148,0.225457962039468,Fixed Income
40,2019-02-11,Asset1,232.1751,0.225457962039468,Fixed Income
41,2019-02-12,Asset1,232.2308,0.225457962039468,Fixed Income
42,2019-02-13,Asset1,232.5939,0.225457962039468,Fixed Income
43,2019-02-14,Asset1,232.7362,0.225457962039468,Fixed Income
44,2019-02-15,Asset1,232.754,0.225457962039468,Fixed Income
45,2019-02-16,Asset1,232.754,0.225457962039468,Fixed Income
46,2019-02-17,Asset1,232.754,0.225457962039468,Fixed Income
47,2019-02-18,Asset1,232.7746,0.225457962039468,Fixed Income
48,2019-02-19,Asset1,232.8894,0.225457962039468,Fixed Income
49,2019-02-20,Asset1,232.7082,0.225457962039468,Fixed Income
50,2019-02-21,Asset1,232.5826,0.225457962039468,Fixed Income
51,2019-02-22,Asset1,232.8227,0.225457962039468,Fixed Income
52,2019-02-23,Asset1,232.8227,0.225457962039468,Fixed Income
53,2019-02-24,Asset1,232.8227,0.225457962039468,Fixed Income
54,2019-02-25,Asset1,233.0297,0.225457962039468,Fixed Income
55,2019-02-26,Asset1,233.2063,0.225457962039468,Fixed Income
56,2019-02-27,Asset1,232.5685,0.225457962039468,Fixed Income
57,2019-02-28,Asset1,232.3292,0.225457962039468,Fixed Income
58,2019-03-01,Asset1,232.2761,0.225457962039468,Fixed Income
59,2019-03-02,Asset1,232.2761,0.225457962039468,Fixed Income
60,2019-03-03,Asset1,232.2761,0.225457962039468,Fixed Income
61,2019-03-04,Asset1,232.6784,0.225457962039468,Fixed Income
62,2019-03-05,Asset1,232.7193,0.225457962039468,Fixed Income
63,2019-03-06,Asset1,233.4892,0.225457962039468,Fixed Income
64,2019-03-07,Asset1,234.7471,0.225457962039468,Fixed Income
65,2019-03-08,Asset1,234.7106,0.225457962039468,Fixed Income
